file	url	year	months	day	hours	minutes	seconds	db	frequency	duration
event20230218_041843_15.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_041843_15.jpg width="700" height="400">	2023	02	18	04	18	43	-45.5	2085.5	1.6
event20230218_042450_16.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_042450_16.jpg width="700" height="400">	2023	02	18	04	24	50	-62.3	2039.1	0.1
event20230218_044649_17.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_044649_17.jpg width="700" height="400">	2023	02	18	04	46	49	-44.9	2077.7	5.5
event20230218_052132_18.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_052132_18.jpg width="700" height="400">	2023	02	18	05	21	32	-55.1	2076.9	0.1
event20230218_054304_19.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_054304_19.jpg width="700" height="400">	2023	02	18	05	43	04	-56.6	2043	0.2
event20230218_054619_20.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_054619_20.jpg width="700" height="400">	2023	02	18	05	46	19	-51.4	2059.5	0.8
event20230218_054845_21.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_054845_21.jpg width="700" height="400">	2023	02	18	05	48	45	-57.4	2081	0.2
event20230218_060700_22.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_060700_22.jpg width="700" height="400">	2023	02	18	06	07	00	-58.5	2065.5	0.6
event20230218_061616_23.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_061616_23.jpg width="700" height="400">	2023	02	18	06	16	16	-62	2077.3	0.3
event20230218_062041_24.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_062041_24.jpg width="700" height="400">	2023	02	18	06	20	41	-55.4	2111.4	0.2
event20230218_062057_25.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_062057_25.jpg width="700" height="400">	2023	02	18	06	20	57	-56	2076.9	0.2
event20230218_062950_26.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_062950_26.jpg width="700" height="400">	2023	02	18	06	29	50	-61.9	2050.8	0.1
event20230218_065042_27.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_065042_27.jpg width="700" height="400">	2023	02	18	06	50	42	-56.9	2080.7	0.2
event20230218_065330_28.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_065330_28.jpg width="700" height="400">	2023	02	18	06	53	30	-60.2	2055.2	0.2
event20230218_065645_29.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_065645_29.jpg width="700" height="400">	2023	02	18	06	56	45	-62.7	2065.9	0.1
event20230218_070115_30.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_070115_30.jpg width="700" height="400">	2023	02	18	07	01	15	-62	2073.6	0.1
event20230218_070402_31.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_070402_31.jpg width="700" height="400">	2023	02	18	07	04	02	-62.2	2081	0.1
event20230218_071956_32.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_071956_32.jpg width="700" height="400">	2023	02	18	07	19	56	-57.9	2076.6	0.5
event20230218_072420_33.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_072420_33.jpg width="700" height="400">	2023	02	18	07	24	20	-61.2	2050.9	0.2
event20230218_072605_34.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_072605_34.jpg width="700" height="400">	2023	02	18	07	26	05	-61.4	2027.1	0.1
event20230218_074323_35.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_074323_35.jpg width="700" height="400">	2023	02	18	07	43	23	-51.6	2068.7	0.6
event20230218_075412_36.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_075412_36.jpg width="700" height="400">	2023	02	18	07	54	12	-50.4	2080	0.6
